City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,29.19,84,83,1.79,EC,1681249307
1,naze,28.3667,129.4833,19.51,91,80,1.62,JP,1681249362
2,port lincoln,-34.7333,135.8667,16.15,75,16,7.47,AU,1681249579
3,victoria,22.2855,114.1577,22.68,90,79,0.97,HK,1681249579
4,armidale,-30.5167,151.65,10.07,60,51,1.72,AU,1681249580
5,hobart,-42.8794,147.3294,9.67,96,75,2.06,AU,1681249580
6,rikitea,-23.1203,-134.9692,24.72,71,100,3.04,PF,1681249295
7,cabo san lucas,22.8909,-109.9124,32.19,19,0,5.66,MX,1681249386
8,taurianova,38.3563,16.0109,13.06,77,94,3.88,IT,1681249581
9,domat,46.8348,9.4508,6.57,98,100,1.83,CH,1681249581
10,qaanaaq,77.484,-69.3632,-21.91,80,0,0.98,GL,1681249581
11,jamestown,42.097,-79.2353,18.8,34,0,9.77,US,1681249312
12,bredasdorp,-34.5322,20.0403,12.25,74,54,1.4,ZA,1681249581
13,muros,42.7762,-9.0603,14.12,80,61,6.42,ES,1681249379
14,poum,-20.2333,164.0167,26.29,77,1,3.02,NC,1681249582
15,bluff,-46.6,168.3333,11.56,91,100,9.05,NZ,1681249582
16,grand gaube,-20.0064,57.6608,25.77,82,80,1.34,MU,1681249318
17,pacific grove,36.6177,-121.9166,14.39,75,40,4.12,US,1681249438
18,new norfolk,-42.7826,147.0587,9.89,77,38,0.33,AU,1681249466
19,ushuaia,-54.8,-68.3,1.81,80,75,6.17,AR,1681249305
20,nanortalik,60.1432,-45.2371,-0.66,96,99,2.79,GL,1681249583
21,avarua,-21.2078,-159.775,29.03,58,64,5.14,CK,1681249583
22,arraial do cabo,-22.9661,-42.0278,24.92,69,75,6.17,BR,1681249290
23,yellowknife,62.456,-114.3525,-7.71,73,100,3.6,CA,1681249496
24,palo alto,37.4419,-122.143,18.27,60,40,8.75,US,1681249116
25,katima mulilo,-17.5,24.2667,19.68,69,100,1.96,NA,1681249584
26,busselton,-33.65,115.3333,16.63,81,14,3.43,AU,1681249584
27,castro,-24.7911,-50.0119,16.72,79,8,0.65,BR,1681249181
28,rach gia,10.0167,105.0833,27.08,81,73,2.92,VN,1681249585
29,altay,47.8667,88.1167,0.19,97,100,0.89,CN,1681249585
30,kapaa,22.0752,-159.319,24.86,81,100,8.23,US,1681249308
31,san cristobal,7.7669,-72.225,27.1,55,100,1.51,VE,1681249253
32,lebu,-37.6167,-73.65,14.41,93,68,0.87,CL,1681249343
33,richards bay,-28.783,32.0377,18.84,80,100,2.32,ZA,1681249362
34,sinnamary,5.3833,-52.95,25.84,85,98,3.87,GF,1681249586
35,katobu,-4.9408,122.5276,24.13,94,39,0.77,ID,1681249342
36,port alfred,-33.5906,26.891,13.43,87,100,0.89,ZA,1681249335
37,port elizabeth,-33.918,25.5701,14.39,80,0,4.63,ZA,1681249300
38,neyshabur,36.2133,58.7958,21.62,18,100,4.61,IR,1681249587
39,torbay,47.6666,-52.7314,7.34,38,75,6.69,CA,1681249587
40,port augusta,-32.5,137.7667,16.33,89,6,3.87,AU,1681249388
41,vostok,46.4856,135.8833,-4.51,87,100,5.35,RU,1681249406
42,saldanha,-33.0117,17.9442,12.03,79,43,4.54,ZA,1681249588
43,luau,-10.7073,22.2247,17.97,96,100,1.25,AO,1681249329
44,barkly west,-28.5354,24.5215,7.6,21,100,1.98,ZA,1681249588
45,sitka,57.0531,-135.33,7.94,53,20,5.14,US,1681249588
46,urumqi,43.801,87.6005,4.53,87,75,6.0,CN,1681249589
47,punta arenas,-53.15,-70.9167,6.06,61,40,8.23,CL,1681249589
48,rafai,4.95,23.9167,20.73,98,100,4.07,CF,1681249589
49,saskylakh,71.9167,114.0833,-26.56,100,94,2.2,RU,1681249332
50,boralday,43.3578,76.8594,5.92,87,75,2.0,KZ,1681249590
51,talnakh,69.4865,88.3972,-24.99,98,100,1.82,RU,1681249590
52,sibolga,1.7427,98.7792,24.28,91,99,1.05,ID,1681249309
53,leningradskiy,69.3833,178.4167,-17.66,90,99,3.69,RU,1681249438
54,hilo,19.7297,-155.09,26.41,59,0,2.06,US,1681249590
55,mahanoro,-19.9,48.8,22.86,92,7,1.72,MG,1681249591
56,butaritari,3.0707,172.7902,27.51,77,100,6.37,KI,1681249473
57,sena madureira,-9.0656,-68.6569,27.94,75,51,0.91,BR,1681249591
58,norman wells,65.282,-126.8329,-1.98,59,75,4.63,CA,1681249324
59,bila,43.7825,16.9253,7.77,78,100,2.86,BA,1681249591
60,boyuibe,-20.4167,-63.2833,25.35,54,12,3.1,BO,1681249592
61,tuktoyaktuk,69.4541,-133.0374,-17.0,71,75,8.75,CA,1681249592
62,hermanus,-34.4187,19.2345,9.89,74,65,4.18,ZA,1681249304
63,husavik,66.0449,-17.3389,2.95,89,79,3.53,IS,1681249592
64,albany,42.6001,-73.9662,22.23,49,100,5.88,US,1681249593
65,georgetown,5.4112,100.3354,26.97,89,20,1.03,MY,1681249431
66,dikson,73.5069,80.5464,-24.27,97,97,7.37,RU,1681249452
67,chokurdakh,70.6333,147.9167,-24.48,94,31,1.34,RU,1681249457
68,taoudenni,22.6783,-3.9836,26.36,7,96,3.3,ML,1681249594
69,gbarnga,6.9956,-9.4722,24.76,86,52,1.52,LR,1681249594
70,kitovo,56.8659,41.2825,6.71,77,22,1.94,RU,1681249594
71,hirara,24.8,125.2833,20.15,94,40,2.06,JP,1681249594
72,kalmunai,7.4167,81.8167,25.89,82,17,1.46,LK,1681249594
73,ribeira grande,38.5167,-28.7,15.99,87,100,0.45,PT,1681249020
74,kurchum,48.5722,83.6542,1.22,89,90,1.31,KZ,1681249595
75,nan,18.8333,100.6667,25.15,38,8,0.5,TH,1681249595
76,cape town,-33.9258,18.4232,14.77,69,0,4.47,ZA,1681249591
